Schema	Tabela	Coluna	Tipo	MaxLen	Null	Ident	PK	FKTo
dbo	__EFMigrationsHistory	MigrationId	nvarchar	300	False	False	1	
dbo	__EFMigrationsHistory	ProductVersion	nvarchar	64	False	False	0	
dbo	Activitys	Id	uniqueidentifier	16	False	False	1	
dbo	Activitys	PresentationCallsQuantity	int	4	False	False	0	
dbo	Activitys	ThecnicalCallsQuantity	int	4	False	False	0	
dbo	Activitys	Sales	int	4	False	False	0	
dbo	Activitys	Score	int	4	False	False	0	
dbo	Activitys	Date	datetime2	8	False	False	0	
dbo	Activitys	UsuarioId	varchar	100	False	False	0	dbo.AspNetUsers
dbo	Activitys	ClientId	uniqueidentifier	16	False	False	0	
dbo	Activitys	IcProdutiva	bit	1	False	False	0	
dbo	Activitys	AreaAtuacaoID	uniqueidentifier	16	True	False	0	
dbo	Administrators	Id	uniqueidentifier	16	False	False	1	
dbo	Administrators	Name	nvarchar	-1	True	False	0	
dbo	Administrators	Email	nvarchar	-1	True	False	0	
dbo	Administrators	AdmissionDate	datetime2	8	False	False	0	
dbo	Administrators	Birthday	datetime2	8	False	False	0	
dbo	Administrators	Photo	varbinary	-1	True	False	0	
dbo	Administrators	Document	nvarchar	-1	True	False	0	
dbo	Administrators	Ativo	bit	1	False	False	0	
dbo	Administrators	PhoneNumber	nvarchar	-1	True	False	0	
dbo	Administrators	UrlPhoto	nvarchar	-1	True	False	0	
dbo	AlertasGestao	Id	uniqueidentifier	16	False	False	1	
dbo	AlertasGestao	UsuarioVendedorId	nvarchar	900	False	False	0	
dbo	AlertasGestao	UsuarioGestorId	nvarchar	900	True	False	0	
dbo	AlertasGestao	CasoCadenciaIaId	uniqueidentifier	16	True	False	0	
dbo	AlertasGestao	Severidade	nvarchar	40	False	False	0	
dbo	AlertasGestao	TipoAlerta	nvarchar	120	False	False	0	
dbo	AlertasGestao	Mensagem	nvarchar	4000	False	False	0	
dbo	AlertasGestao	CriadoEm	datetime2	8	False	False	0	
dbo	AlertasGestao	VistoEm	datetime2	8	True	False	0	
dbo	AlertasGestao	ResolvidoEm	datetime2	8	True	False	0	
dbo	AlertasGestao	AcaoTomada	nvarchar	4000	True	False	0	
dbo	AprendizadoCoordenador	Id	uniqueidentifier	16	False	False	1	
dbo	AprendizadoCoordenador	ConversaId	uniqueidentifier	16	True	False	0	
dbo	AprendizadoCoordenador	UsuarioId	nvarchar	900	False	False	0	
dbo	AprendizadoCoordenador	Contexto	nvarchar	2000	False	False	0	
dbo	AprendizadoCoordenador	Problema	nvarchar	2000	False	False	0	
dbo	AprendizadoCoordenador	SugestaoMelhoria	nvarchar	2000	True	False	0	
dbo	AprendizadoCoordenador	Revisado	bit	1	False	False	0	
dbo	AprendizadoCoordenador	CriadoEm	datetime2	8	False	False	0	
dbo	AreaAtuacaos	Id	uniqueidentifier	16	False	False	1	
dbo	AreaAtuacaos	Descricao	nvarchar	-1	True	False	0	
dbo	AreaAtuacaos	Ativo	bit	1	False	False	0	
dbo	AspNetRoleClaims	Id	int	4	False	True	1	
dbo	AspNetRoleClaims	RoleId	varchar	100	False	False	0	dbo.AspNetRoles
dbo	AspNetRoleClaims	ClaimType	nvarchar	-1	True	False	0	
dbo	AspNetRoleClaims	ClaimValue	nvarchar	-1	True	False	0	
dbo	AspNetRoles	Id	varchar	100	False	False	1	
