Schema	Tabela	Rows	SizeMB
dbo	Tarefas	13090	12.64
dbo	PreLeads	11601	8.51
dbo	LogTarefa	10425	70.64
dbo	HistoricoPreLead	6947	1.88
dbo	Participantes	6922	1.88
dbo	LogAuditoria	6303	49.08
dbo	HistoricoPreLeads	3926	0.70
dbo	ReuniaoIntegracaoLog	2811	3.45
dbo	LogDadosDashboardVendedor	2725	23.89
dbo	AtividadesDiarias	2386	0.82
dbo	ClientContacts	1905	1.01
dbo	Clients	1815	1.32
dbo	PreLeadAssociacaoUsuario	1796	0.38
dbo	Reunioes	1429	6.52
dbo	AuditDeleteTable	1257	0.57
dbo	ReuniaoBackgroundProcessamentoLog	350	0.57
dbo	VagasLinkedin	332	0.38
dbo	AreaAtuacaos	205	0.07
dbo	DocumentosClientes	188	0.13
dbo	LogConversaoPreLead	182	0.57
dbo	ServiceBusLog	51	0.13
dbo	AspNetUserRoles	44	0.07
dbo	AspNetUsers	44	0.07
dbo	SugestoesIa	42	0.07
dbo	PassosCadenciaIa	39	0.07
dbo	AspNetRoleClaims	37	0.07
dbo	CasosCadenciaIa	37	0.07
dbo	LogsExecucaoAgenteIa	36	0.07
dbo	AspNetUserClaims	31	0.07
dbo	IAProcessamentoLog	30	2.52
dbo	ClaimTypes	29	0.07
dbo	Feriados	23	0.07
dbo	Skills	13	0.07
dbo	MotivoConclusaoVendas	12	0.07
dbo	TipoTarefas	9	0.07
dbo	AspNetRoles	8	0.07
dbo	ConfiguracoesAgenteIa	7	0.07
dbo	ReuniaoReprocessamentoPeriodoLoteLog	7	0.14
dbo	StatusPreLeads	7	0.07
dbo	CategoriaSkills	6	0.07
dbo	FaseVendas	6	0.07
dbo	TipoJuridico	4	0.07
dbo	Administrators	3	0.07
dbo	MetricaRanking	3	0.07
dbo	Senioridades	3	0.07
dbo	StatusJuridicos	3	0.07
dbo	StatusPropostas	3	0.07
dbo	__EFMigrationsHistory	2	0.07
dbo	CadastroEquipes	2	0.07
dbo	CalendarioPagamentos	2	0.07
dbo	ControlesJuridicos	2	0.07
dbo	DetalhesControleJuridico	2	0.07
dbo	JobCompanys	2	0.07
dbo	KanbanV2AcessoWhitelist	2	0.07
dbo	Organizacoes	2	0.07
dbo	TipoReuniao	2	0.07
dbo	AlertasGestao	1	0.07
dbo	ConfiguracaoApps	1	0.07
dbo	sysdiagrams	1	0.33
dbo	Activitys	0	0.00
dbo	AprendizadoCoordenador	0	0.00
dbo	AspNetUserLogins	0	0.00
dbo	AspNetUserTokens	0	0.00
dbo	CardsProspeccao	0	0.00
dbo	ConversaCoordenador	0	0.00
dbo	Escolaridades	0	0.00
dbo	EventosProspeccao	0	0.00
dbo	FeedbackPassoIa	0	0.00
dbo	HistoricoFaseCliente	0	0.00
dbo	LogBackgroundService	0	0.00
dbo	LogDados	0	0.00
dbo	LogDetalheDesativacao	0	0.00
dbo	MensagemConversa	0	0.00
dbo	MotivoRecusaPropostas	0	0.00
dbo	PerfilVendedorIa	0	0.00
dbo	PosVendaClientes	0	0.07
dbo	RegraAprendida	0	0.00
dbo	Tags	0	0.00
dbo	TeamsWebhookLog	0	0.00
dbo	Vagas	0	0.07
dbo	VagasSkills	0	0.07
