Schema	Tabela	Coluna	Tipo	MaxLen	Null	Ident	PK	FKTo
dbo	AcompanhamentoColaboradorRH	Id	uniqueidentifier	16	False	False	1	
dbo	AcompanhamentoColaboradorRH	DtAcompanhamento	datetime	8	False	False	0	
dbo	AcompanhamentoColaboradorRH	Descricao	nvarchar	-1	False	False	0	
dbo	AcompanhamentoColaboradorRH	IcAlerta	bit	1	False	False	0	
dbo	AcompanhamentoColaboradorRH	Acao	nvarchar	510	True	False	0	
dbo	AcompanhamentoColaboradorRH	ColaboradorId	uniqueidentifier	16	False	False	0	dbo.Colaboradores
dbo	Agenda	Id	uniqueidentifier	16	False	False	1	
dbo	Agenda	UsuarioId	nvarchar	900	False	False	0	dbo.AspNetUsers
dbo	Agenda	HorarioInicio	time	5	False	False	0	
dbo	Agenda	HorarioFim	time	5	False	False	0	
dbo	Agenda	Cliente	nvarchar	510	False	False	0	
dbo	Agenda	Tipo	int	4	False	False	0	
dbo	Agenda	DiaSemana	int	4	True	False	0	
dbo	Agenda	Observacao	nvarchar	-1	True	False	0	
dbo	AnexoTicket	Id	uniqueidentifier	16	False	False	1	
dbo	AnexoTicket	TicketId	uniqueidentifier	16	False	False	0	dbo.Ticket
dbo	AnexoTicket	DataUpload	datetime	8	False	False	0	
dbo	AnexoTicket	EmailUpload	nvarchar	510	False	False	0	
dbo	AnexoTicket	CaminhoArquivo	nvarchar	-1	False	False	0	
dbo	AnexoTicket	DataCriacao	datetime	8	True	False	0	
dbo	AnexoTicket	DataAtualizacao	datetime	8	True	False	0	
dbo	Area	Id	uniqueidentifier	16	False	False	1	
dbo	Area	Nome	nvarchar	510	False	False	0	
dbo	Area	EmailResponsavel	nvarchar	510	False	False	0	
dbo	Area	Ativo	bit	1	False	False	0	
dbo	Area	DataCriacao	datetime2	8	True	False	0	
dbo	Area	DataAtualizacao	datetime2	8	True	False	0	
dbo	AspNetRoleClaims	Id	int	4	False	True	1	
dbo	AspNetRoleClaims	RoleId	nvarchar	900	False	False	0	dbo.AspNetRoles
dbo	AspNetRoleClaims	ClaimType	nvarchar	-1	True	False	0	
dbo	AspNetRoleClaims	ClaimValue	nvarchar	-1	True	False	0	
dbo	AspNetRoles	Id	nvarchar	900	False	False	1	
dbo	AspNetRoles	Name	nvarchar	512	True	False	0	
dbo	AspNetRoles	NormalizedName	nvarchar	512	True	False	0	
dbo	AspNetRoles	ConcurrencyStamp	nvarchar	-1	True	False	0	
dbo	AspNetUserClaims	Id	int	4	False	True	1	
dbo	AspNetUserClaims	UserId	nvarchar	900	False	False	0	dbo.AspNetUsers
dbo	AspNetUserClaims	ClaimType	nvarchar	-1	True	False	0	
dbo	AspNetUserClaims	ClaimValue	nvarchar	-1	True	False	0	
dbo	AspNetUserLogins	LoginProvider	nvarchar	256	False	False	1	
dbo	AspNetUserLogins	ProviderKey	nvarchar	256	False	False	1	
dbo	AspNetUserLogins	ProviderDisplayName	nvarchar	-1	True	False	0	
dbo	AspNetUserLogins	UserId	nvarchar	900	False	False	0	dbo.AspNetUsers
dbo	AspNetUserRoles	UserId	nvarchar	900	False	False	1	dbo.AspNetUsers
dbo	AspNetUserRoles	RoleId	nvarchar	900	False	False	1	dbo.AspNetRoles
dbo	AspNetUsers	Id	nvarchar	900	False	False	1	
dbo	AspNetUsers	UserName	nvarchar	512	True	False	0	
dbo	AspNetUsers	NormalizedUserName	nvarchar	512	True	False	0	
dbo	AspNetUsers	Email	nvarchar	512	True	False	0	
dbo	AspNetUsers	NormalizedEmail	nvarchar	512	True	False	0	
dbo	AspNetUsers	EmailConfirmed	bit	1	False	False	0	
dbo	AspNetUsers	PasswordHash	nvarchar	-1	True	False	0	
dbo	AspNetUsers	SecurityStamp	nvarchar	-1	True	False	0	
dbo	AspNetUsers	ConcurrencyStamp	nvarchar	-1	True	False	0	
dbo	AspNetUsers	PhoneNumber	nvarchar	-1	True	False	0	
dbo	AspNetUsers	PhoneNumberConfirmed	bit	1	False	False	0	
dbo	AspNetUsers	TwoFactorEnabled	bit	1	False	False	0	
dbo	AspNetUsers	LockoutEnd	datetimeoffset	10	True	False	0	
dbo	AspNetUsers	LockoutEnabled	bit	1	False	False	0	
dbo	AspNetUsers	AccessFailedCount	int	4	False	False	0	
dbo	AspNetUserTokens	UserId	nvarchar	900	False	False	1	dbo.AspNetUsers
dbo	AspNetUserTokens	LoginProvider	nvarchar	256	False	False	1	
dbo	AspNetUserTokens	Name	nvarchar	256	False	False	1	
dbo	AspNetUserTokens	Value	nvarchar	-1	True	False	0	
dbo	AvaliacaoColaboradores	Id	uniqueidentifier	16	False	False	1	
dbo	AvaliacaoColaboradores	ColaboradorId	uniqueidentifier	16	True	False	0	dbo.Colaboradores
dbo	AvaliacaoColaboradores	ClienteId	uniqueidentifier	16	True	False	0	dbo.Empresas
dbo	AvaliacaoColaboradores	ContratoId	uniqueidentifier	16	True	False	0	dbo.Contratos
dbo	AvaliacaoColaboradores	ResponsavelTecnico	nvarchar	510	True	False	0	
dbo	AvaliacaoColaboradores	Periodo	datetime2	8	False	False	0	
dbo	AvaliacaoColaboradores	Tecnico	int	4	True	False	0	
dbo	AvaliacaoColaboradores	Comunicacao	int	4	True	False	0	
dbo	AvaliacaoColaboradores	Comprometimento	int	4	True	False	0	
dbo	AvaliacaoColaboradores	Descricao	nvarchar	-1	True	False	0	
dbo	Bancoss	Id	uniqueidentifier	16	False	False	1	
dbo	Bancoss	NrBanco	int	4	False	False	0	
dbo	Bancoss	Descricao	nvarchar	-1	False	False	0	
dbo	Bancoss	Ativo	bit	1	False	False	0	
dbo	CandidatoCurriculoChunk	Id	uniqueidentifier	16	False	False	1	
dbo	CandidatoCurriculoChunk	CandidatoId	uniqueidentifier	16	False	False	0	
dbo	CandidatoCurriculoChunk	ChunkIndex	int	4	False	False	0	
dbo	CandidatoCurriculoChunk	TextoChunk	nvarchar	-1	False	False	0	
dbo	CandidatoCurriculoChunk	Embedding	vector	6152	False	False	0	
dbo	CandidatoCurriculoChunk	BlobPath	nvarchar	800	True	False	0	
dbo	CandidatoCurriculoChunk	DataCriacao	datetime2	8	False	False	0	
dbo	CandidatoCurriculoChunk	Secao	int	4	True	False	0	
dbo	CandidatoCurriculoChunk	TituloSecao	nvarchar	300	True	False	0	
dbo	CandidatoCurriculoChunk	TextoEnriquecido	nvarchar	-1	True	False	0	
dbo	CandidatoCurriculoChunk	TextoNormalizado	nvarchar	-1	True	False	0	
dbo	CandidatoCurriculoChunk	Empresa	nvarchar	400	True	False	0	
dbo	CandidatoCurriculoChunk	Cargo	nvarchar	400	True	False	0	
dbo	CandidatoCurriculoChunk	Periodo	nvarchar	200	True	False	0	
dbo	CandidatoCurriculoChunk	SenioridadeId	uniqueidentifier	16	True	False	0	dbo.Senioridades
dbo	CandidatoCurriculoChunk	Localizacao	nvarchar	400	True	False	0	
dbo	CandidatoCurriculoChunk	PalavrasChaveJson	nvarchar	-1	True	False	0	
dbo	CandidatoCurriculoChunk	IdiomasJson	nvarchar	-1	True	False	0	
dbo	CandidatoCurriculoChunk	DataAtualizacao	datetime2	8	True	False	0	
dbo	CandidatoIdioma	Id	uniqueidentifier	16	False	False	1	
dbo	CandidatoIdioma	CandidatoId	uniqueidentifier	16	False	False	0	
dbo	CandidatoIdioma	Idioma	nvarchar	200	False	False	0	
dbo	CandidatoIdioma	Nivel	nvarchar	200	True	False	0	
dbo	CandidatoIdioma	Origem	nvarchar	100	True	False	0	
dbo	CandidatoIdioma	DataCriacao	datetime2	8	False	False	0	
dbo	Candidatos	Id	uniqueidentifier	16	False	False	1	
dbo	Candidatos	NomeCompleto	nvarchar	-1	False	False	0	
dbo	Candidatos	Email	nvarchar	-1	False	False	0	
dbo	Candidatos	Documento	nvarchar	-1	True	False	0	
dbo	Candidatos	Telefone	nvarchar	-1	False	False	0	
dbo	Candidatos	Genero	nvarchar	-1	True	False	0	
dbo	Candidatos	D_Nascimento	datetime2	8	True	False	0	
dbo	Candidatos	Descricao	nvarchar	-1	True	False	0	
dbo	Candidatos	EscolaridadeId	uniqueidentifier	16	True	False	0	dbo.Escolaridades
dbo	Candidatos	CEP	nvarchar	-1	True	False	0	
dbo	Candidatos	Rua	nvarchar	-1	True	False	0	
dbo	Candidatos	Cidade	nvarchar	-1	True	False	0	
dbo	Candidatos	Bairro	nvarchar	-1	True	False	0	
dbo	Candidatos	Numero	int	4	True	False	0	
dbo	Candidatos	Uf	nvarchar	-1	True	False	0	
dbo	Candidatos	Complemento	nvarchar	2000	True	False	0	
dbo	Candidatos	Viagem	bit	1	True	False	0	
dbo	Candidatos	UserId	nvarchar	-1	True	False	0	
dbo	Candidatos	Observacao	nvarchar	-1	True	False	0	
dbo	Candidatos	ColaboradorId	uniqueidentifier	16	True	False	0	
dbo	Candidatos	LinkReuniao	nvarchar	-1	True	False	0	
dbo	Candidatos	DataHoraAdicao	datetime2	8	True	False	0	
dbo	Candidatos	CriadoPor	uniqueidentifier	16	True	False	0	
dbo	Candidatos	AceitaPresencial	bit	1	True	False	0	
dbo	Candidatos	CaminhoArquivo	nvarchar	-1	True	False	0	
dbo	Candidatos	DtCriacao	datetime2	8	True	False	0	
dbo	Candidatos	PretensaoSalarial	money	8	True	False	0	
dbo	Candidatos	Contrato	nvarchar	100	True	False	0	
dbo	Candidatos	ObsTecnica	nvarchar	-1	True	False	0	
dbo	Candidatos	IcAprovado	bit	1	True	False	0	
dbo	Candidatos	DadosIA	nvarchar	-1	True	False	0	
dbo	Candidatos	TextoCurriculo	nvarchar	-1	True	False	0	
dbo	Candidatos	DadosIANormalizado	nvarchar	-1	True	False	0	
dbo	CandidatosSkills	Id	uniqueidentifier	16	False	False	1	
dbo	CandidatosSkills	CandidatoId	uniqueidentifier	16	True	False	0	dbo.Candidatos
dbo	CandidatosSkills	SkillId	uniqueidentifier	16	True	False	0	dbo.Skills
dbo	CandidatosSkills	SenioridadeId	uniqueidentifier	16	True	False	0	dbo.Senioridades
dbo	CandidatosSkills	VagaId	uniqueidentifier	16	True	False	0	dbo.Vagas
dbo	CandidatosSkills	UserId	nvarchar	-1	True	False	0	
dbo	CandidatosSkills	DataHoraAdicao	datetime2	8	True	False	0	
dbo	Cargos	Id	uniqueidentifier	16	False	False	1	
dbo	Cargos	DepartamentoId	uniqueidentifier	16	False	False	0	dbo.Departamentos
dbo	Cargos	Nome	varchar	255	False	False	0	
dbo	Cargos	Ativo	bit	1	False	False	0	
dbo	Cargos	IdEmpresaSistema	uniqueidentifier	16	True	False	0	dbo.EmpresasSistema
dbo	Cargos	IdFilial	uniqueidentifier	16	True	False	0	dbo.Filiais
dbo	Categorias	Id	uniqueidentifier	16	False	False	1	
dbo	Categorias	Descricao	nvarchar	-1	False	False	0	
dbo	Categorias	Ativo	bit	1	False	False	0	
dbo	Categorias	GrupoId	uniqueidentifier	16	False	False	0	dbo.Grupos
dbo	CategoriaSkills	Id	uniqueidentifier	16	False	False	1	
dbo	CategoriaSkills	Nome	nvarchar	-1	False	False	0	
dbo	CategoriaSkills	Ativo	bit	1	False	False	0	
dbo	CentroCustos	Id	uniqueidentifier	16	False	False	1	
dbo	CentroCustos	Nome	varchar	255	False	False	0	
dbo	CentroCustos	Observacao	varchar	255	False	False	0	
dbo	CentroCustos	Ativo	bit	1	False	False	0	
dbo	CestasBasicas	Id	uniqueidentifier	16	False	False	1	
dbo	CestasBasicas	Nome	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Ativo	bit	1	False	False	0	
dbo	CestasBasicas	DataCadastro	datetime2	8	False	False	0	
dbo	CestasBasicas	DataDeNascimento	datetime2	8	False	False	0	
dbo	CestasBasicas	Telefone	nvarchar	-1	True	False	0	
dbo	CestasBasicas	CEP	nvarchar	-1	True	False	0	
dbo	CestasBasicas	UF	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Cidade	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Rua	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Numero	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Bairro	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Complemento	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Img	nvarchar	-1	True	False	0	
dbo	CestasBasicas	Cpf	nvarchar	-1	True	False	0	
dbo	Cidades	Id	uniqueidentifier	16	False	False	1	
dbo	Cidades	Nome	varchar	50	False	False	0	
dbo	Colaboradores	Id	uniqueidentifier	16	False	False	1	
dbo	Colaboradores	NomeCompleto	varchar	255	False	False	0	
dbo	Colaboradores	Email	varchar	255	False	False	0	
dbo	Colaboradores	Documento	varchar	20	False	False	0	
dbo	Colaboradores	Telefone	varchar	20	True	False	0	
dbo	Colaboradores	Genero	varchar	20	False	False	0	
dbo	Colaboradores	Ativo	bit	1	False	False	0	
dbo	Colaboradores	ICvendedor	bit	1	False	False	0	
dbo	Colaboradores	ICDeliveryManager	bit	1	False	False	0	
dbo	Colaboradores	ICTechLead	bit	1	False	False	0	
dbo	Colaboradores	D_Nascimento	datetime2	8	True	False	0	
dbo	Colaboradores	Especializacao	varchar	60	True	False	0	
dbo	Colaboradores	DataInicio	datetime2	8	True	False	0	
dbo	Colaboradores	DataFim	datetime2	8	True	False	0	
dbo	Colaboradores	Data_Criacao_Email	datetime2	8	True	False	0	
dbo	Colaboradores	CargoId	uniqueidentifier	16	True	False	0	
dbo	Colaboradores	Contrato	nvarchar	-1	True	False	0	
dbo	Colaboradores	ColaboradorId	uniqueidentifier	16	True	False	0	
dbo	Colaboradores	DtAvaliacaoInicial	datetime2	8	False	False	0	
dbo	Colaboradores	EmailCliente	varchar	255	False	False	0	
dbo	Colaboradores	NomeCliente	varchar	255	False	False	0	
dbo	Colaboradores	Periodicidade	int	4	False	False	0	
dbo	Colaboradores	CaminhoCurriculo	nvarchar	-1	True	False	0	
dbo	Colaboradores	DtUltimaVenda	datetime	8	True	False	0	
dbo	Colaboradores	TipoAlocacao	int	4	True	False	0	
dbo	Colaboradores	MotivoDesligamentoId	uniqueidentifier	16	True	False	0	dbo.MotivoDesligamento
dbo	Colaboradores	ObservacoesDesligamento	nvarchar	-1	True	False	0	
dbo	Colaboradores	DataDesligamento	date	3	True	False	0	
dbo	Colaboradores	IcGestao	bit	1	True	False	0	
dbo	Colaboradores	IcEnviaEmailFinanceiro	bit	1	False	False	0	
dbo	Colaboradores	ICContratoCorreto	bit	1	True	False	0	
dbo	Colaboradores	ResponsavelTicket	char	1	False	False	0	
dbo	Colaboradores	IcRecrutador	bit	1	False	False	0	
dbo	ColaboradoresSkills	Id	uniqueidentifier	16	False	False	1	
dbo	ColaboradoresSkills	ColaboradorId	uniqueidentifier	16	True	False	0	dbo.Colaboradores
dbo	ColaboradoresSkills	SkillId	uniqueidentifier	16	True	False	0	dbo.Skills
dbo	ColaboradoresSkills	SenioridadeId	uniqueidentifier	16	True	False	0	dbo.Senioridades
dbo	ColaborarEmpresas	Id	uniqueidentifier	16	False	False	1	
dbo	ColaborarEmpresas	ColaboradorId	uniqueidentifier	16	False	False	0	dbo.Colaboradores
dbo	ColaborarEmpresas	EmpresaId	uniqueidentifier	16	False	False	0	dbo.Empresas
dbo	Comunicados	Id	uniqueidentifier	16	False	False	1	
dbo	Comunicados	Titulo	nvarchar	512	True	False	0	
dbo	Comunicados	Descricao	nvarchar	1000	True	False	0	
dbo	Comunicados	Corpo	nvarchar	-1	False	False	0	
dbo	Comunicados	CaminhoImagem	nvarchar	600	True	False	0	
dbo	Comunicados	DataPublicacao	datetime	8	False	False	0	
dbo	Comunicados	Ativo	bit	1	False	False	0	
dbo	Comunicados	CreatedBy	nvarchar	512	True	False	0	
dbo	ConfigContas	Id	uniqueidentifier	16	False	False	1	
dbo	ConfigContas	Descricao	nvarchar	-1	False	False	0	
dbo	ConfigContas	Ativo	bit	1	False	False	0	
dbo	ConfiguracaoNotificacao	Id	uniqueidentifier	16	False	False	1	
dbo	ConfiguracaoNotificacao	NotificacaoTipo	nvarchar	510	False	False	0	
dbo	ConfiguracaoNotificacao	UsuarioId	nvarchar	900	False	False	0	dbo.AspNetUsers
dbo	ConfiguracaoNotificacao	NomeNotificacao	nvarchar	510	False	False	0	
dbo	ContasAPagar	Id	uniqueidentifier	16	False	False	1	
dbo	ContasAPagar	ColaboradorId	uniqueidentifier	16	True	False	0	dbo.Colaboradores
dbo	ContasAPagar	EmpresaOrigem	nvarchar	-1	False	False	0	
dbo	ContasAPagar	Periodo	datetime2	8	False	False	0	
dbo	ContasAPagar	Pagamento	money	8	True	False	0	
dbo	ContasAPagar	Status	nvarchar	-1	False	False	0	
dbo	ContasAPagar	DataProcesso	datetime2	8	True	False	0	
dbo	ContasAPagar	Observacao	nvarchar	-1	True	False	0	
dbo	ContasAPagar	DtGeracaoFolha	datetime	8	True	False	0	
dbo	ContasAPagar	NrAno	int	4	True	False	0	
dbo	ContasAPagar	NrMes	int	4	True	False	0	
dbo	ContasAPagar	TipoFolha	int	4	False	False	0	
dbo	ContasAPagar	IcEmailEnviado	bit	1	False	False	0	
dbo	ContasAPagar	DtEnvioEmail	datetime	8	True	False	0	
dbo	ContasAPagar	CorpoEmail	nvarchar	-1	True	False	0	
dbo	ContasAReceber	Id	uniqueidentifier	16	False	False	1	
dbo	ContasAReceber	EmpresaId	uniqueidentifier	16	True	False	0	dbo.Empresas
dbo	ContasAReceber	Periodo	datetime2	8	False	False	0	
dbo	ContasAReceber	ValorNota	money	8	True	False	0	
dbo	ContasAReceber	Status	nvarchar	-1	True	False	0	
dbo	ContasAReceber	EmpresaOrigemId	uniqueidentifier	16	True	False	0	dbo.EmpresaOrigens
dbo	ContasAReceber	ValorBoleto	money	8	True	False	0	
dbo	ContasAReceber	DataPgBoleto	datetime2	8	True	False	0	
dbo	ContasAReceber	DtGeracaoFolha	datetime	8	True	False	0	
dbo	ContasAReceber	NrAno	int	4	True	False	0	
dbo	ContasAReceber	NrMes	int	4	True	False	0	
dbo	ContasAReceber	TipoFolha	int	4	False	False	0	
dbo	ContasAReceber	Observacao	nvarchar	-1	True	False	0	
dbo	ContasFinanceiros	Id	uniqueidentifier	16	False	False	1	
dbo	ContasFinanceiros	Data	datetime2	8	False	False	0	
dbo	ContasFinanceiros	Ativo	bit	1	False	False	0	
dbo	ContasFinanceiros	ConfigContaId	uniqueidentifier	16	False	False	0	dbo.ConfigContas
dbo	ContasFinanceiros	Valor	decimal	9	False	False	0	
