FKName	ParentTable	ParentColumns	RefTable	RefColumns
FK_AcompanhamentoColaboradorRH_Colaborador	dbo.AcompanhamentoColaboradorRH	ColaboradorId	dbo.Colaboradores	Id
FK_Agenda_AspNetUsers	dbo.Agenda	UsuarioId	dbo.AspNetUsers	Id
FK_AnexoTicket_Ticket	dbo.AnexoTicket	TicketId	dbo.Ticket	Id
FK_AspNetRoleClaims_AspNetRoles_RoleId	dbo.AspNetRoleClaims	RoleId	dbo.AspNetRoles	Id
FK_AspNetUserClaims_AspNetUsers_UserId	dbo.AspNetUserClaims	UserId	dbo.AspNetUsers	Id
FK_AspNetUserLogins_AspNetUsers_UserId	dbo.AspNetUserLogins	UserId	dbo.AspNetUsers	Id
FK_AspNetUserRoles_AspNetRoles_RoleId	dbo.AspNetUserRoles	RoleId	dbo.AspNetRoles	Id
FK_AspNetUserRoles_AspNetUsers_UserId	dbo.AspNetUserRoles	UserId	dbo.AspNetUsers	Id
FK_AspNetUserTokens_AspNetUsers_UserId	dbo.AspNetUserTokens	UserId	dbo.AspNetUsers	Id
FK_AvaliacaoColaboradores_Cliente	dbo.AvaliacaoColaboradores	ClienteId	dbo.Empresas	Id
FK_AvaliacaoColaboradores_Colaborador	dbo.AvaliacaoColaboradores	ColaboradorId	dbo.Colaboradores	Id
FK_AvaliacaoColaboradores_Contrato	dbo.AvaliacaoColaboradores	ContratoId	dbo.Contratos	Id
FK_CandidatoCurriculoChunk_Senioridades_SenioridadeId	dbo.CandidatoCurriculoChunk	SenioridadeId	dbo.Senioridades	Id
FK_Candidatos_Escolaridades_EscolaridadeId	dbo.Candidatos	EscolaridadeId	dbo.Escolaridades	Id
FK_CandidatosSkills_Candidatos_CandidatoId	dbo.CandidatosSkills	CandidatoId	dbo.Candidatos	Id
FK_CandidatosSkills_Senioridades_SenioridadeId	dbo.CandidatosSkills	SenioridadeId	dbo.Senioridades	Id
FK_CandidatosSkills_Skills_SkillId	dbo.CandidatosSkills	SkillId	dbo.Skills	Id
FK_CandidatosSkills_Vagas	dbo.CandidatosSkills	VagaId	dbo.Vagas	Id
FK_Cargos_Departamentos_DepartamentoId	dbo.Cargos	DepartamentoId	dbo.Departamentos	Id
FK_Cargos_EmpresasSistema	dbo.Cargos	IdEmpresaSistema	dbo.EmpresasSistema	Id
FK_Cargos_Filiais	dbo.Cargos	IdFilial	dbo.Filiais	Id
FK_Categorias_Grupos_GrupoId	dbo.Categorias	GrupoId	dbo.Grupos	Id
FK_Colaboradores_MotivoDesligamento	dbo.Colaboradores	MotivoDesligamentoId	dbo.MotivoDesligamento	Id
FK_ColaboradoresSkills_Colaboradores_ColaboradorId	dbo.ColaboradoresSkills	ColaboradorId	dbo.Colaboradores	Id
FK_ColaboradoresSkills_Senioridades_SenioridadeId	dbo.ColaboradoresSkills	SenioridadeId	dbo.Senioridades	Id
FK_ColaboradoresSkills_Skills_SkillId	dbo.ColaboradoresSkills	SkillId	dbo.Skills	Id
FK_ColaborarEmpresas_Colaboradores_ColaboradorId	dbo.ColaborarEmpresas	ColaboradorId	dbo.Colaboradores	Id
FK_ColaborarEmpresas_Empresas_EmpresaId	dbo.ColaborarEmpresas	EmpresaId	dbo.Empresas	Id
FK_ConfiguracaoNotificacao_AspNetUsers	dbo.ConfiguracaoNotificacao	UsuarioId	dbo.AspNetUsers	Id
FK_ContasAPagar_Colaboradores_ColaboradorId	dbo.ContasAPagar	ColaboradorId	dbo.Colaboradores	Id
FK_ContasAReceber_EmpresaOrigens_EmpresaOrigemId	dbo.ContasAReceber	EmpresaOrigemId	dbo.EmpresaOrigens	Id
FK_ContasAReceber_Empresas_EmpresaId	dbo.ContasAReceber	EmpresaId	dbo.Empresas	Id
FK_ContasFinanceiros_ConfigContas_ConfigContaId	dbo.ContasFinanceiros	ConfigContaId	dbo.ConfigContas	Id
FK_Contato_Empresas_EmpresaId	dbo.Contato	EmpresaId	dbo.Empresas	Id
FK_Contratos_CentroCustos_CentroCustoId	dbo.Contratos	CentroCustoId	dbo.CentroCustos	Id
FK_Contratos_Colaboradores_ColaboradorId	dbo.Contratos	ColaboradorId	dbo.Colaboradores	Id
FK_Contratos_Colaboradores_Gestor	dbo.Contratos	GestorId	dbo.Colaboradores	Id
FK_Contratos_EmpresaOrigens_EmpresaOrigemId	dbo.Contratos	EmpresaOrigemId	dbo.EmpresaOrigens	Id
FK_Contratos_Empresas_EmpresaId	dbo.Contratos	EmpresaId	dbo.Empresas	Id
FK_DadosBancarios_Colaboradores_ColaboradorId	dbo.DadosBancarios	ColaboradorId	dbo.Colaboradores	Id
FK_DadosPagamentoColaborador_EmpresaOrigem	dbo.DadosPagamentoColaborador	EmpresaOrigemId	dbo.EmpresaOrigens	Id
FK_Departamentos_EmpresasSistema	dbo.Departamentos	IdEmpresaSistema	dbo.EmpresasSistema	Id
FK_Departamentos_Filiais	dbo.Departamentos	IdFilial	dbo.Filiais	Id
FK_DetalheCestaBasicas_CestasBasicas	dbo.DetalheCestaBasicas	CestaBasicaId	dbo.CestasBasicas	Id
FK_DetalhesEmprestimos_EmprestimosColaboradores_EmprestetimoColaboradorId	dbo.DetalhesEmprestimos	EmprestetimoColaboradorId	dbo.EmprestimosColaboradores	Id
FK_DetalheUploadTimeSheet_UploadTimeSheet_IdUploadTimeSheet	dbo.DetalheUploadTimeSheet	IdUploadTimeSheet	dbo.UploadTimeSheet	Id
FK_DocumentosPerfil_AspNetRoles	dbo.DocumentosPerfil	PerfilId	dbo.AspNetRoles	Id
FK_EmprestimosColaboradores_Colaboradores_ColaboradorId	dbo.EmprestimosColaboradores	ColaboradorId	dbo.Colaboradores	Id
FK_Enderecos_Colaboradores_ColaboradorId	dbo.Enderecos	ColaboradorId	dbo.Colaboradores	Id
FK_EventoColaboradores_Colaboradores_ColaboradorId	dbo.EventoColaboradores	ColaboradorId	dbo.Colaboradores	Id
FK_EventoColaboradores_Eventos_EventoId	dbo.EventoColaboradores	EventoId	dbo.Eventos	Id
FK_Feriados_EmpresasSistema	dbo.Feriados	IdEmpresaSistema	dbo.EmpresasSistema	Id
FK_Feriados_Filiais	dbo.Feriados	IdFilial	dbo.Filiais	Id
FK_Filiais_EmpresasSistema	dbo.Filiais	IdEmpresaSistema	dbo.EmpresasSistema	Id
FK_FolhaFixas_Colaboradores_ColaboradorId	dbo.FolhaFixas	ColaboradorId	dbo.Colaboradores	Id
