Schema	Tabela	Rows	SizeMB
dbo	LogDados	131174	704.02
dbo	Folhas	5275	3.01
dbo	Notificacoes	4733	4.32
dbo	ContasFinanceiros	3892	0.57
dbo	CandidatosSkills	3545	1.51
dbo	UploadTimeSheet	3446	1.01
dbo	ContasAPagar	2172	2.39
dbo	LogProjetoColaborador	2110	43.95
dbo	Candidatos	1493	2.64
dbo	HistoricoPainelOcorrencias	1062	0.95
dbo	PainelDeOcorrencias	677	0.76
dbo	ProjetoEmpresaColaboradores	598	0.32
dbo	ContasAReceber	526	0.26
dbo	EventoColaboradores	392	0.13
dbo	Colaboradores	290	0.26
dbo	SkillAlias	255	0.20
dbo	RefreshTokens	250	0.13
dbo	HistoricoTicket	223	2.70
dbo	Skills	222	0.07
dbo	LogTicket	182	0.20
dbo	HistoricoVaga	177	0.13
dbo	Contratos	153	0.13
dbo	AvaliacaoColaboradores	148	0.07
dbo	Empresas	130	0.07
dbo	AcompanhamentoColaboradorRH	129	0.76
dbo	Enderecos	88	0.07
dbo	Vagas	83	0.39
dbo	VagasSkills	77	0.07
dbo	ColaboradoresSkills	74	0.07
dbo	Ticket	61	0.58
dbo	Patrimonios	60	0.07
dbo	HistoricoBens	42	0.07
dbo	AspNetUsers	37	0.07
dbo	AspNetUserRoles	35	0.07
dbo	CestasBasicas	34	0.20
dbo	Contato	33	0.07
dbo	DetalhesEmprestimos	28	0.07
dbo	UsuariosEmpresasSistema	24	0.07
dbo	PapelAlias	23	0.07
dbo	Papeis	21	0.07
dbo	CategoriaSkills	15	0.07
dbo	DadosPagamentoColaborador	15	0.07
dbo	AnexoTicket	14	0.07
dbo	Eventos	12	0.07
dbo	ModulosPerfis	12	0.07
dbo	EmprestimosColaboradores	10	0.07
dbo	Agenda	9	0.07
dbo	ConfiguracaoNotificacao	9	0.07
dbo	AspNetRoles	8	0.07
dbo	Cargos	8	0.07
dbo	ConfigContas	8	0.07
dbo	DadosBancarios	8	0.07
dbo	ImpostoConfigs	8	0.07
dbo	Categorias	7	0.07
dbo	Escolaridades	7	0.07
dbo	Senioridades	7	0.07
dbo	Area	6	0.07
dbo	EmpresaOrigens	6	0.07
dbo	Modulos	6	0.07
dbo	Comunicados	5	0.07
dbo	MotivoDesligamento	5	0.07
dbo	CentroCustos	4	0.07
dbo	Grupos	4	0.07
dbo	StatusJuridicos	4	0.13
dbo	SugestoesReclamacoes	4	0.07
dbo	AspNetUserTokens	3	0.07
dbo	Departamentos	3	0.07
dbo	DocumentosPerfil	3	0.07
dbo	PessoaFavorecidos	3	0.07
dbo	StatusVaga	3	0.07
dbo	TipoTarefa	3	0.07
dbo	TipoBem	2	0.07
dbo	DetalheCestaBasicas	1	0.07
dbo	EmpresasSistema	1	0.07
dbo	Filiais	1	0.07
dbo	LancamentoPagamentos	1	0.07
dbo	ReclamacoesDenuncias	1	0.07
dbo	SetorFinanceiros	1	0.07
dbo	AspNetRoleClaims	0	0.00
dbo	AspNetUserClaims	0	0.00
dbo	AspNetUserLogins	0	0.00
dbo	Bancoss	0	0.00
dbo	CandidatoCurriculoChunk	0	0.00
dbo	CandidatoIdioma	0	0.00
dbo	Cidades	0	0.00
dbo	ColaborarEmpresas	0	0.00
dbo	DetalheUploadTimeSheet	0	0.07
dbo	Feriados	0	0.00
dbo	FolhaFixas	0	0.00
dbo	HistoricoTicketAnexos	0	0.00
dbo	ImpostoPago	0	0.07
dbo	lancamentosManuais	0	0.00
dbo	LogEnvioEmail	0	0.00
dbo	LogFolha	0	0.00
dbo	LogFolhaDetalheAPagar	0	0.00
dbo	LogFolhaDetalheAReceber	0	0.00
dbo	LogPainelDeOcorrencia	0	0.00
dbo	sysdiagrams	0	0.00
dbo	TimeSheets	0	0.00
dbo	TipoContratos	0	0.00
dbo	TipoDocumento	0	0.00
dbo	TipoTicket	0	0.07
dbo	UploadTimeSheetBody	0	0.07
